ds,yhat,yhat_lower,yhat_upper
2016-04-13,173.8426811898891,154.2004285921806,193.14391505853942
2016-04-14,174.06568653583582,154.48593342418113,193.28470098727766
2016-04-15,174.8392949959728,156.22468934623768,192.88611772778833
2016-04-16,174.07801345341343,156.39696633757578,192.9997156395816
2016-04-17,174.03300077829334,154.67383410177754,191.75595949727838
2016-04-18,172.99447497284876,154.56963638754942,190.40938866334764
2016-04-19,170.41840322003304,151.48121150482075,189.30965501440338
2016-04-20,170.15026844597114,151.55314787529815,188.92714624083112
2016-04-21,170.10175984723764,150.42598916827592,188.96605348695132
2016-04-22,170.6919010513691,152.503442280581,187.7874716206582
2016-04-23,169.83962811537228,150.61614708618148,188.72104065766166
2016-04-24,169.7984944767315,151.26060809750047,189.76591777228282
2016-04-25,168.85870960882554,150.39186774574353,188.45592844965557
2016-04-26,166.47401474504852,148.90601904553628,185.24173573309528
2016-04-27,166.4856200402714,148.00717434855102,186.32417235352818
2016-04-28,166.79861680051886,148.08913379091163,183.65359221703255
2016-04-29,167.8235759979446,150.98534639532286,186.65409342070984
2016-04-30,167.46914473643187,149.70872211819892,186.75651037819725
2016-05-01,167.97725203567316,149.2055407138352,185.89128163187019
2016-05-02,167.62512248046923,149.42243637651694,184.46287586473863
2016-05-03,165.85265473121484,148.17526269727873,184.27102566456995
2016-05-04,166.48681207370458,148.34913497236906,183.63328399104319
2016-05-05,167.41799777215107,147.8654055479457,184.7667409528894
2016-05-06,169.04231802545942,150.20542151188852,188.89613421218334
2016-05-07,169.2543389188083,150.55105689635903,188.62865324062315
2016-05-08,170.2828796074996,151.16300158913558,189.18256025754923
2016-05-09,170.39303012191274,150.9688435513017,189.67073034410723
2016-05-10,169.01400394314987,149.73453460502907,186.97555534214007
2016-05-11,169.96389633915754,151.41430639167538,189.62280133573148
2016-05-12,171.12588280610944,151.13633169288053,189.43091386604087
2016-05-13,172.89095584202096,153.26671647810875,191.36190346380909
2016-05-14,173.15060614992038,153.3404463500511,191.1122008011233
2016-05-15,174.1329278124653,155.35851019239527,191.91719669220376
2016-05-16,174.10433262073929,156.05091566142687,193.1949385980073
2016-05-17,172.49754491314175,153.48735416637865,191.2041170419321
2016-05-18,173.13638019809255,155.22145994520318,191.8722238861284
2016-05-19,173.9114122983279,154.87938470225586,191.096437963896
2016-05-20,175.22283157107574,157.63423696905502,194.0859998690066
2016-05-21,174.9727089979649,155.14870715979083,192.85519308184675
2016-05-22,175.4010910039343,157.02625841507088,192.66458484016044
2016-05-23,174.78711525748992,155.43319441238725,193.567084222318
2016-05-24,172.57688690701139,153.21984139469382,191.27301183364227
2016-05-25,172.60805698265077,154.19407985747583,190.01626812189
2016-05-26,172.7847831435254,154.52642903257706,191.82685575114456
2016-05-27,173.5205835152643,155.60067401316687,193.75934327167678
2016-05-28,172.73010952403166,154.09337692721863,191.65330973359553
2016-05-29,172.66520931126882,153.83510146967976,191.15245079157566
2016-05-30,171.6154766542,152.77424317448353,190.68109364042283
2016-05-31,169.03609153385307,150.25942248954982,185.6360237531449
2016-06-01,168.77232970966045,151.08705778400255,185.9609151400239
2016-06-02,168.73399292283693,149.4029785419353,187.7071860238946
2016-06-03,169.33847359092488,149.75556996130314,186.91315565956174
2016-06-04,168.5022850115779,150.33302982241878,186.75419970461047
2016-06-05,168.47736862708842,149.55608098072102,188.00634212335933
2016-06-06,167.55137061962577,145.66984893722102,187.02124442878744
2016-06-07,165.17575296793655,147.41114517873083,184.81568353865305
2016-06-08,165.19054409182522,144.54465725349434,182.6572638882225
2016-06-09,165.4985443305672,147.15821085949173,184.75663736941615
2016-06-10,166.50889566357554,147.04462921687727,184.54617059765
2016-06-11,166.12864468456885,148.5367880900142,184.853959569875
2016-06-12,166.59954377299158,146.9004634530206,185.7167040673486
2016-06-13,166.19827446877008,147.37600264203678,185.711547893628
2016-06-14,164.36501222468405,146.46166197301986,183.4876137136022
2016-06-15,164.9285616960617,145.60993775463763,183.87099275899914
2016-06-16,165.78043872373283,148.2091595787939,185.75948717821635
2016-06-17,167.31900242964193,150.06339821047223,186.0554104598617
2016-06-18,167.4410640183122,149.57905345816675,185.3020777935449
2016-06-19,168.37915153263864,149.5779352751677,186.06858887547747
2016-06-20,168.40160792578493,149.3282661876636,188.2088980705671
2016-06-21,166.94149885090545,149.5702501026365,187.42176562305968
2016-06-22,167.8219870781305,149.28807391445443,185.7525422830674
2016-06-23,168.93011528976965,150.99578419614252,187.53574054051077
2016-06-24,170.6613000180566,151.67656392961575,187.2911859584689
2016-06-25,170.91076674007152,154.0378724633162,189.64365599507514
2016-06-26,171.9110457977638,153.9320282899945,191.48955912014074
2016-06-27,171.93170632580723,153.4759221244066,190.89204825231246
2016-06-28,170.40836802227125,152.98824814621304,190.06965640765318
2016-06-29,171.16808163618074,153.45293413669296,191.07408180088635
2016-06-30,172.10259131770093,153.19644889325232,190.27844827090925
2016-07-01,173.612986263469,154.7691422805211,191.3193977409967
2016-07-02,173.6007797968932,154.9490435868107,192.09932928816048
2016-07-03,174.30547994376272,154.37999256680797,191.68947282023197
2016-07-04,174.00383166138107,155.65503530882026,193.36628813655275
2016-07-05,172.13883626206618,153.3410909727559,191.05423657538515
2016-07-06,172.54507422441844,152.6381115474952,190.14316515694003
2016-07-07,173.12141635838162,155.1548590512247,192.99703051895918
2016-07-08,174.27583493785997,155.6734466353539,193.60183090103655
2016-07-09,173.91615970764565,155.81501210942903,192.4843436158365
2016-07-10,174.2877850521643,155.6859204956341,193.12314082792017
2016-07-11,173.6725085812067,155.3832216809874,191.7170696781346
2016-07-12,171.51766883775645,152.30342004300408,190.6884378479301
2016-07-13,171.66153971627173,152.97346350395804,190.76987385565022
2016-07-14,172.0056339278727,152.902141119284,190.0292647873485
2016-07-15,172.9598267453155,153.5257083381193,190.58915259132837
2016-07-16,172.4329469940661,153.316228213301,190.5760833815296
2016-07-17,172.67077915579372,154.4270109838215,191.3742467169398
2016-07-18,171.95465244057192,153.9056882202743,189.86532844359553
2016-07-19,169.7308426074052,150.5735554184777,188.73049315118226
2016-07-20,169.8361715974597,151.3205950502396,187.77823929193366
2016-07-21,170.1700215865432,150.10276037094195,189.33810348846376
2016-07-22,171.1398715734515,152.7495083378473,189.8843848582474
2016-07-23,170.65180351791645,152.47913811345413,189.17551619691898
2016-07-24,170.9488581399904,152.10459371213,190.06585849980644
2016-07-25,170.30941120496297,151.6734492183699,189.012123935232
2016-07-26,168.17685416664528,150.30161606026988,187.2679966430438
2016-07-27,168.3853925080466,150.2072082918501,187.98607001334955
2016-07-28,168.83174392431155,150.23628235010946,188.1302621476227
2016-07-29,169.92104329087735,151.989427760024,189.65910326000648
2016-07-30,169.5572038551727,151.01554157993883,188.66706310557726
2016-07-31,169.98155378428612,150.403942227067,187.88600992750708
2016-08-01,169.47091692566553,151.90955353944682,187.08353179234155
2016-08-02,167.4674829962651,148.30406444677035,186.8603585633529
2016-08-03,167.80471213791486,148.39264411199312,185.93045024744768
2016-08-04,168.3786248139354,149.7322659312356,185.94907103663283
2016-08-05,169.59398597078533,150.89011927633828,187.52128300478708
2016-08-06,169.354438249077,149.62897355334462,186.88649762485008
2016-08-07,169.90134499787192,151.9092192569957,188.30645869688163
2016-08-08,169.51151218921538,151.28575252686596,188.306516540888
2016-08-09,167.62719754562903,148.1033878873666,185.92160687589598
2016-08-10,168.08208466196996,149.86088250245817,186.2729108776338
2016-08-11,168.77214267988907,151.7209248648167,187.37313037993627
2016-08-12,170.10208259727327,151.47917532991826,187.49914282180413
2016-08-13,169.9752700286888,151.09011043235824,189.65900249438923
2016-08-14,170.63279596766762,152.08470549266877,188.3072908902062
2016-08-15,170.35087360552592,151.93654649320234,187.5598695619848
2016-08-16,168.57103093126508,149.78107257614235,186.28357543014184
2016-08-17,169.1262077401277,151.20171693972014,187.82981970494245
2016-08-18,169.91124487047128,152.51246333288992,187.23870185758022
2016-08-19,171.32967650384776,152.7893528258912,188.5322341786207
2016-08-20,171.28348781101167,152.8303265255308,190.77583386694133
2016-08-21,172.01247775782048,155.448813566586,190.36529434687327
2016-08-22,171.7913916299404,152.50215429113337,189.90197142547245
2016-08-23,170.060352133224,151.4126156220599,188.5059970499141
2016-08-24,170.65112649403733,151.74514995881026,189.04585669041518
2016-08-25,171.457282935403,151.8648701462711,190.8502658593539
2016-08-26,172.8813457313038,153.38476960424094,191.29402042289416
2016-08-27,172.82441264227566,153.85158969419905,191.23012797970625
2016-08-28,173.52581228185653,155.2057959051544,192.36214225970903
2016-08-29,173.25996239631755,153.73984751028632,193.06686735265038
2016-08-30,171.46701740668829,152.38085546284663,189.65462733421023
2016-08-31,171.97927221740574,152.9906539041239,189.8582564591783
2016-09-01,172.69094239760994,155.02815714289014,191.64483932844436
2016-09-02,174.0056298257118,154.67626962132925,191.4651059830616
2016-09-03,173.82574093188555,155.72269736552323,192.0249242339255
2016-09-04,174.39237486081075,156.18966262612608,194.2776630199651
2016-09-05,173.9818411514909,154.0437626358881,192.3490778153407
2016-09-06,172.03645704431625,153.61386231300074,189.940735915555
2016-09-07,172.39102325950856,153.49311592492512,190.2518133104137
2016-09-08,172.94216731776174,154.9416488092857,190.96875214921218
2016-09-09,174.09606533532784,155.35751583327095,193.2780069073974
2016-09-10,173.75761466704975,154.8472510297225,191.47722773301777
2016-09-11,174.17051598793782,156.1239456336212,193.56512418466096
2016-09-12,173.6134242479994,154.6134872364983,194.02872421549534
2016-09-13,171.53088120908726,153.24158315630348,191.20374532611993
2016-09-14,171.7598607139511,153.1776999736264,190.50244434778838
2016-09-15,172.19868468261305,153.07311232516207,191.52550662933854
2016-09-16,173.25502240534837,154.22681472532298,192.3106014825104
2016-09-17,172.83484982494346,154.2733540754079,190.80863562609863
2016-09-18,173.18276762663817,155.3043883493538,190.2684503770026
2016-09-19,172.5778359529934,153.9895328026607,191.24921113169955
2016-09-20,170.46469932982146,152.6223666289737,189.74668736445793
2016-09-21,170.6802633261678,152.4103362172075,190.70332711011392
2016-09-22,171.12224783423846,152.41714842525897,189.29700215144874
2016-09-23,172.19752893965065,152.82122980633835,190.9369720277844
2016-09-24,171.8109483292627,152.6157392535817,191.5096856239495
2016-09-25,172.20592715934055,153.65786057579095,190.03539406490444
2016-09-26,171.66003865456034,152.9944246633063,190.2258045683108
2016-09-27,169.61637217078027,151.2063816120914,188.70985769081105
2016-09-28,169.9103791521955,151.51933143360074,188.54021943173862
2016-09-29,170.43809160920273,152.6060041705007,187.67398138217928
2016-09-30,171.60482369046002,151.9233794487521,189.9998198023861
2016-10-01,171.31383713207143,153.34425451324915,189.84944137528234
2016-10-02,171.80724558417057,152.57241290090806,190.70229858513014
2016-10-03,171.36130890356168,153.0513690418843,192.18478834030878
2016-10-04,169.41801003542312,151.5575116398416,188.73964099523087
2016-10-05,169.8120349174198,151.11377828949864,188.32314824981503
2016-10-06,170.4386131806836,151.58293226210708,189.34813258866274
2016-10-07,171.70253050043243,154.13095817965177,189.5385748847813
2016-10-08,171.5065970856464,152.99627004843128,192.01997306321488
2016-10-09,172.09278741116958,152.8593559753676,190.8189434345991
2016-10-10,171.73720118353145,153.8441526756545,189.13541513449144
2016-10-11,169.88180013852235,150.36723656155183,188.38962847815355
2016-10-12,170.36147311429232,151.74522078315576,188.11120189839127
2016-10-13,171.0714561844899,151.26620294742844,190.500000170881
2016-10-14,172.41662062114585,153.65060768059936,191.50370243026947
2016-10-15,172.2997182717978,153.13279905629915,189.48952404697675
2016-10-16,172.96274059107768,154.46317200437568,191.42632145941226
2016-10-17,172.68154091538165,153.8420544495279,190.6130450599016
2016-10-18,170.89773684780326,152.22068645566355,186.75302716358354
2016-10-19,171.44587710028173,153.11945461580703,189.96781977211756
2016-10-20,172.22046807410555,152.58938495331077,191.03777804176366
2016-10-21,173.62557396578566,154.36917744700693,191.6521050477953
2016-10-22,173.562883803229,154.2976006412608,191.7910989570454
2016-10-23,174.27334120559556,154.24757416027262,192.52393684354135
2016-10-24,174.03148418529037,154.53469757695936,192.3048707281476
2016-10-25,172.277572054384,152.4650774931787,190.82519259445698
2016-10-26,172.8449134691321,154.29024420561885,191.70396224861514
2016-10-27,173.62655710741222,154.97351324150196,193.16584214849837
2016-10-28,175.0252575124029,156.3361781200574,193.73929005640377
2016-10-29,174.94141114837205,155.7379786269747,194.41059889629412
