ds,yhat,yhat_lower,yhat_upper,Category
2015-10-05,12.976929115362157,8.326952197666241,17.347478707786976,Camping & Hiking
2015-10-06,13.322098886769213,8.442194987126953,17.51152575243723,Camping & Hiking
2015-10-07,12.779384976373867,7.857441439515391,17.624689338955058,Camping & Hiking
2015-10-08,13.012043491020341,8.409517687045767,17.55343665093524,Camping & Hiking
2015-10-09,12.909446797930846,8.023322155326344,17.225956141510576,Camping & Hiking
2015-10-10,13.150315935304572,8.602614185845992,18.101516650741324,Camping & Hiking
2015-10-11,13.267199949564155,8.910870861027693,18.138962046361016,Camping & Hiking
2015-10-12,13.028987391127554,8.280958832174013,17.929539761799507,Camping & Hiking
2015-10-13,13.446126351590452,8.551393419539053,18.089714068664083,Camping & Hiking
2015-10-14,12.974795725696701,8.45539073995083,17.796012370663988,Camping & Hiking
2015-10-15,13.277407625308957,8.470070375323324,18.092602857003325,Camping & Hiking
2015-10-16,13.241573131431974,8.511920413494412,17.868415318279855,Camping & Hiking
2015-10-17,13.544902651159441,8.748346235132662,18.32622508817366,Camping & Hiking
2015-10-18,13.718527265228714,8.924902848630742,18.360916259975617,Camping & Hiking
2015-10-19,13.530104834183723,8.957100870904116,18.418927397605213,Camping & Hiking
2015-10-20,13.989405238322867,9.37491960573614,18.908981828209576,Camping & Hiking
2015-10-21,13.551227504529741,8.652878136728628,18.34303704409726,Camping & Hiking
2015-10-22,13.877861796059202,9.248859729526387,18.53228966426639,Camping & Hiking
2015-10-23,13.856057603427965,8.835173866505441,18.556785315197793,Camping & Hiking
2015-10-24,14.163372202235621,9.455916926047239,19.057471369755273,Camping & Hiking
2015-10-25,14.33070987012136,9.665552716940047,19.005659467132233,Camping & Hiking
2015-10-26,14.125794760955104,9.082919359559451,18.708212987947203,Camping & Hiking
2015-10-27,14.55909050566264,9.757989232944002,19.5344020994874,Camping & Hiking
2015-10-28,14.08543016154049,9.112598608772608,18.727228365962425,Camping & Hiking
2015-10-29,14.368403403152062,9.696047135082546,19.00016330306486,Camping & Hiking
2015-10-30,14.29529236042253,9.579454192840263,18.760852003337444,Camping & Hiking
2015-10-31,14.54493390708262,9.442488877327955,19.50190907689155,Camping & Hiking
2015-11-01,14.649243930662655,10.041892201049157,19.441604050897208,Camping & Hiking
2015-11-02,14.37712651329364,9.773733515100902,19.42165815207951,Camping & Hiking
2015-11-03,14.740700631456518,10.244303571403158,19.603143604364195,Camping & Hiking
2015-11-04,14.19561962576703,9.691140021550888,18.646726071259405,Camping & Hiking
2015-11-05,14.407364907776248,9.666541623695847,19.30413868579562,Camping & Hiking
2015-11-06,14.264135908826443,9.52572262358734,18.945847079856126,Camping & Hiking
2015-11-07,14.446218202423776,9.78528897353632,19.252322196242535,Camping & Hiking
2015-11-08,14.486490608342827,10.118829430715365,19.069107531324978,Camping & Hiking
2015-11-09,14.154774315342394,9.272701129759465,18.761363330152243,Camping & Hiking
2015-11-10,14.46437608155522,9.38102034297282,18.96101342876911,Camping & Hiking
2015-11-11,13.871112141362017,9.09885269168274,18.644281750403078,Camping & Hiking
2015-11-12,14.041528451109913,9.29764417947716,19.102733515910067,Camping & Hiking
2015-11-13,13.863769322801407,9.310600660520043,18.33567502186804,Camping & Hiking
2015-11-14,14.018479818701897,9.609350986821932,18.94182186715965,Camping & Hiking
2015-11-15,14.03832719238213,9.282236829684484,18.825746988154986,Camping & Hiking
2015-11-16,13.692823630836754,8.935860829991244,18.307529626354633,Camping & Hiking
2015-11-17,13.995220852166936,9.080713962995485,18.542923667752184,Camping & Hiking
2015-11-18,13.400273572023673,8.62975315749978,18.0573426778768,Camping & Hiking
2015-11-19,13.574420633017233,8.939127074237929,18.579624843001593,Camping & Hiking
2015-11-20,13.404664907547,8.757646225026575,17.89936406137293,Camping & Hiking
2015-11-21,13.57103984988363,8.873595857077706,18.060924650251064,Camping & Hiking
2015-11-22,13.60517160162696,8.661440323680207,18.461721331479403,Camping & Hiking
2015-11-23,13.275597360867284,8.431045350993042,18.026995412836573,Camping & Hiking
2015-11-24,13.595028427460205,8.870104821799664,18.524427551038915,Camping & Hiking
